repo,repo_url,stars,description,total_candidates,ai_confirmed_count,confirmed_diagram_files
kubeflow/hub,https://github.com/kubeflow/hub,175,"Model Registry provides a single pane of glass for ML model developers to index and manage models, versions, and ML artifacts metadata. It fills a gap between model experimentation and production activities. It provides a central interface for all stakeholders in the MLOps lifecycle to collaborate on ML models.",5,5,docs/Model Registry Testing areas.drawio.png | docs/logical_model_image1.png | docs/logical_model_image2.png | docs/logical_model_image3.png | clients/ui/frontend/docs/meta/arch-overview.png
manifoldailearning/mlops-with-aws-datascientists,https://github.com/manifoldailearning/mlops-with-aws-datascientists,168,,6,5,Section-16-mlops-pipeline/image-1.png | Section-16-mlops-pipeline/image-2.png | Section-16-mlops-pipeline/image-3.png | Section-16-mlops-pipeline/image-4.png | Section-16-mlops-pipeline/image.png
aws-samples/aws-ml-jp,https://github.com/aws-samples/aws-ml-jp,168,SageMakerで機械学習モデルを構築、学習、デプロイする方法が学べるNotebookと教材集,15,5,tasks/generative-ai/text-to-text/inference/call-endpoint/langchain/figs/architecture.png | sagemaker/mlops/sagemaker-pipelines/sagemaker-pipelines-sample/media/6.png | sagemaker/mlops/sagemaker-pipelines/sagemaker-pipelines-sample/media/7.png | sagemaker/mlops/edge-deploy/flow.png | sagemaker/sagemaker-inference/edge/greengrass-ml-inference/image/image01.png
omegaml/omegaml,https://github.com/omegaml/omegaml,107,"MLOps simplified. One-stop AI delivery platform, all the features you need. ",8,5,docs/source/images/deployment.jpg | docs/source/images/deployment.png | docs/source/images/deployment.svg | docs/source/images/monitoring_intro.png | docs/source/images/monitoring_process.png
rh-aiservices-bu/ai-on-openshift,https://github.com/rh-aiservices-bu/ai-on-openshift,107,AI-on-OpenShift website source code,15,5,docs/generative-ai/img/maas-architecture.png | docs/demos/podman-ai-lab-to-rhoai/img/high_level_overview_arch.png | docs/demos/retail-object-detection/img/architecture.png | docs/demos/smart-city/img/architecture.png | docs/demos/water-pump-failure-prediction/img/architecture.png
kubeflow/pipelines,https://github.com/kubeflow/pipelines,4139,Machine Learning Pipelines for Kubeflow,6,4,images/kfp-cluster-wide-architecture.png | proposals/tests-refactor/KFP PipelineUpload API Workflow.png | docs/contributing/pipeline-flow.png | proposals/tests-refactor/PipelineUpload API Test Strategy.png
argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,16686,Workflow Engine for Kubernetes,11,4,docs/assets/workflow-controller-queue.png | docs/assets/diagram.png | docs/assets/overview.jpeg | docs/assets/artifact-gc-option-2-flow.jpg
microsoft/FLAML,https://github.com/microsoft/FLAML,4349,A fast library for AutoML and tuning. Join our Discord: https://discord.gg/Cppx2vSPVP.,11,4,website/docs/Examples/images/AzureML_train_pipeline.png | website/docs/Examples/images/pipeline.png | website/blog/2023-05-18-GPT-adaptive-humaneval/img/design.png | website/blog/2023-06-28-MathChat/img/mathchatflow.png
fiddler-labs/fiddler-auditor,https://github.com/fiddler-labs/fiddler-auditor,191,Fiddler Auditor is a tool to evaluate language models.,4,4,docs/source/images/architecture.png | docs/source/images/monitoring-generative-ai-models_fiddler-auditor.png | examples/images/fiddler-auditor-flow.png | examples/images/model_graded_robustness.png
NannyML/nannyml,https://github.com/NannyML/nannyml,2139,nannyml: post-deployment data science in python,5,4,docs/_static/how-it-works-ranking-abs-perf-features-compare.svg | docs/_static/how-it-works/ranking-abs-perf-features-compare.svg | docs/_static/tutorials/data_quality/missing-titanic-Parch.svg | docs/_static/example_green_taxi_feature_importance.svg
alibaba/MNN,https://github.com/alibaba/MNN,15175,"MNN: A blazing-fast, lightweight inference engine battle-tested by Alibaba, powering high-performance on-device LLMs and Edge AI.",15,4,doc/architecture.png | docs/_static/images/intro/about/architecture.png | doc/workflow.png | docs/_static/images/inference/expr.png
vllm-project/vllm-ascend,https://github.com/vllm-project/vllm-ascend,2093,Community maintained hardware plugin for vLLM on Ascend,6,4,docs/source/assets/workflow.png | docs/source/assets/deployment.png | docs/source/assets/cp/overview.png | docs/source/assets/quantization/quant_algorithm_overview.png
NeumTry/NeumAI,https://github.com/NeumTry/NeumAI,866,Neum AI is a best-in-class framework to manage the creation and synchronization of vector embeddings at large scale.,4,4,docs/images/Data_Flow.png | docs/images/Pipeline_Taxonomy.png | docs/images/Search.png | docs/images/Rag_at_scale.png
datarevenue-berlin/OpenMLOps,https://github.com/datarevenue-berlin/OpenMLOps,711,,6,4,tutorials/images/architecture-overview.png | docs/images/components.png | docs/images/high_level_diagram.png | docs/images/flow.png
cdfoundation/sig-mlops,https://github.com/cdfoundation/sig-mlops,629,CDF SIG MLOps,8,4,roadmap/2020/images/mlops-horizontal-color.svg | roadmap/2021/images/mlops-horizontal-color.svg | roadmap/2022/images/mlops-horizontal-color.svg | roadmap/2024/images/mlops-horizontal-color.svg
GoogleCloudPlatform/fraudfinder,https://github.com/GoogleCloudPlatform/fraudfinder,248,Fraudfinder: A comprehensive lab series on how to build a real-time fraud detection system on Google Cloud,4,4,misc/images/streaming-dataflow-pipeline.png | misc/images/fraudfinder-architecture.png | misc/images/streaming-architecture.png | misc/images/pipeline_run_example.png
bmd1905/Customer-Purchase-Prediction-ML-System,https://github.com/bmd1905/Customer-Purchase-Prediction-ML-System,246,A turnkey MLOps pipeline demonstrating how to go from raw events to real-time predictions at scale.,8,4,docs/images/training-pipeline-dag.jpg | docs/images/training-pipeline-tasks.jpg | docs/images/data-pipeline-dag.jpg | docs/pipeline.png
flopach/digits-recognizer-kubeflow,https://github.com/flopach/digits-recognizer-kubeflow,198,Sample MLOps Workflow: Recognizing Digits with Kubeflow,5,4,images/kubeflow_workflow.png | images/kubernetes_workflow.png | images/pipeline.png | images/app-overview.jpg
substratusai/runbooks,https://github.com/substratusai/runbooks,170,Finetune LLMs on K8s by using Runbooks,4,4,docs/diagrams/model-training.excalidraw.png | docs/diagrams/arch-kind.excalidraw.png | docs/diagrams/container-change-flows/uploaded-notebooks.excalidraw.png | docs/diagrams/identity-global.excalidraw.png
decodingai-magazine/articles-code,https://github.com/decodingai-magazine/articles-code,139,💻  Decoding ML articles hub: Hands-on articles with code on production-grade ML,4,4,articles/ml_system_design/real_time_news_search_with_upstash_kafka_and_vector_db/media/upstash_news_search_engine_system_architecture.png | articles/large_language_models/multi_replica_endpoints_sagemaker_deployment/media/sagemaker_architecture.png | articles/large_language_models/real_time_retrieval_system_for_social_media_data/media/social_media_retrieval_system_architecture.png | articles/large_language_models/multi_replica_endpoints_sagemaker_deployment/media/multi_model_endpoint_logic.png
aiplanethub/genai-stack,https://github.com/aiplanethub/genai-stack,131,An End to End GenAI Framework,4,4,assets/workflow.png | documentation/v0.2.0/example-use-cases/rag_pipeline.jpeg | documentation/v0.1.0/.gitbook/assets/llm_stack.png | documentation/v0.2.0/.gitbook/assets/llm_stack.png
Project-MONAI/monai-deploy,https://github.com/Project-MONAI/monai-deploy,117,"MONAI Deploy aims to become the de-facto standard for developing, packaging, testing, deploying and running medical AI applications in clinical production.",6,4,e2e-testing/static/Clinical_Workflows-Export Task.drawio.png | e2e-testing/static/Clinical_Workflows-Router Task Parallel.drawio.png | e2e-testing/static/Clinical_Workflows-Router Task with conditions.drawio.png | performance-testing/k6/static/Perf Architecture.png
airbnb/chronon,https://github.com/airbnb/chronon,1009,Chronon is a data platform for serving for AI/ML applications.,4,4,docs/images/Overall_Architecture.png | docs/images/Tiled_Architecture.png | docs/images/Untiled_Architecture.png | docs/images/chronon_high_level.png
apache/submarine,https://github.com/apache/submarine,707,Submarine is Cloud Native Machine Learning Platform.,7,3,website/static/img/architecture.png | website/static/img/design/experiments.png | website/static/img/design/multi-dc-cloud.png
tensorflow/serving,https://github.com/tensorflow/serving,6349,"A flexible, high-performance serving system for machine learning models",4,3,tensorflow_serving/g3doc/images/serving_architecture.svg | tensorflow_serving/g3doc/images/predict_sequence_diagram.png | tensorflow_serving/g3doc/images/tf_diagram.svg
VertaAI/modeldb,https://github.com/VertaAI/modeldb,1747,"Open Source ML Model Versioning, Metadata, and Experiment Management",3,3,doc-resources/images/modeldb-architecture.png | client/verta/docs/_static/images/versioning-overview-1.png | webapp/client/public/images/drag-and-drop.svg
NVIDIA/Megatron-LM,https://github.com/NVIDIA/Megatron-LM,16357,Ongoing research training transformer models at scale,4,3,docs/images/distrib_optimizer/data_flow.png | docs/images/context_parallel/CP_overview.png | docs/images/megatron_fsdp/zero3_model_state.png
chroma-core/chroma,https://github.com/chroma-core/chroma,27975,Search infrastructure for AI,5,3,examples/basic_functionality/assets/auth-architecture.png | docs/mintlify/images/system-diagram-dark.png | docs/mintlify/images/system-diagram-light.png
doccano/doccano,https://github.com/doccano/doccano,10650,Open source annotation tool for machine learning practitioners.,5,3,docs/images/developer_guide/architecture_docker.png | docs/images/developer_guide/architecture_docker_compose.png | docs/images/developer_guide/architecture_python_package.png
tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,11375,"TensorZero is an open-source LLMOps platform that unifies an LLM gateway, observability, evaluation, optimization, and experimentation.",4,3,docs/operations/centralize-auth-rate-limits-and-more-diagram.png | docs/optimization/dynamic-in-context-learning-dicl-diagram.png | docs/optimization/index-mipro-diagram.svg
bansalkanav/Ultimate-Data-Science-Toolkit---From-Python-Basics-to-GenerativeAI,https://github.com/bansalkanav/Ultimate-Data-Science-Toolkit---From-Python-Basics-to-GenerativeAI,966,,15,3,Module 5 - MLOPs/4. Orchestrate ML Pipeline/images/prefect_flow_run.JPG | Module 6 - Case Studies/5. AWS Deployment/img/aws0b.PNG | Module 6 - Case Studies/5. AWS Deployment/img/aws0c.PNG
george0st/qgate-model,https://github.com/george0st/qgate-model,411,"ML/AI meta-model, used in MLRun/Iguazio/Nuclio, see qgate-sln-<MLRun | solution>",3,3,00-high-level/basic-feature-sets.png | 00-high-level/derived-feature-sets.png | 00-high-level/object-relations.png
zetane/zetaforgedev,https://github.com/zetane/zetaforgedev,213,Open source AI platform for rapid development of advanced AI and AGI pipelines.,11,3,assets/popular-repos-pipeline.png | docs/assets/gpt-storyteller-pipeline.png | docs/assets/popular-repos-pipeline.png
zenml-io/zenbytes,https://github.com/zenml-io/zenbytes,188,A simple guide to MLOps through ZenML and its various integrations. ,3,3,_assets/1-1/digits_pipeline.png | _assets/3-1/second_pipeline.png | _assets/1-2/local_stack_redesigned.png
MG-Cafe/MLOps_Workshop,https://github.com/MG-Cafe/MLOps_Workshop,162,Azure MLOps,3,3,architecture/flow.PNG | architecture/ml-lifecycle.png | architecture/ml-loop.PNG
bmd1905/ChatOpsLLM,https://github.com/bmd1905/ChatOpsLLM,139,"To simplify and streamline LLM operations, empowering developers and organizations to harness the full potential of large language models with ease.",3,3,deployments/redis/img/redis-cluster-topology.png | deployments/redis/img/redis-topology.png | assets/easy-llmops.png
kubeflow/sdk,https://github.com/kubeflow/sdk,117,Universal Python SDK to run AI workloads on Kubernetes,3,3,docs/proposals/2-trainer-local-execution/high-level-arch.svg | docs/proposals/2-trainer-local-execution/detailed-workflow.svg | docs/images/kubeflow-sdk.drawio.svg
solygambas/mlops-projects,https://github.com/solygambas/mlops-projects,105,Hands-on MLOps projects to explore and learn the practical aspects of machine learning engineering for production.,15,3,07-feature-engineering-pipeline/img/feature_eng_pipeline.png | 04-tensorflow-data-validation/img/tfdv-workflow.png | 10-ml-metadata/img/mlmd_overview.png
Netflix/metaflow,https://github.com/Netflix/metaflow,10102,"Build, Manage and Deploy AI/ML Systems",2,2,docs/metaflow_sidecar_arch.png | docs/metaflow.svg
microsoft/MLOps,https://github.com/microsoft/MLOps,2091,MLOps examples,15,2,examples/KubeflowPipeline/images/finishedRunning.PNG | examples/pytorch-imagenet-onnx/images/release-overview.PNG
microsoft/MLOpsPython,https://github.com/microsoft/MLOpsPython,1305,MLOps using Azure ML Services and Azure DevOps,15,2,docs/images/release-webapp-pipeline.PNG | docs/images/model-artifact-cd-trigger.png
DataTalksClub/mlops-zoomcamp,https://github.com/DataTalksClub/mlops-zoomcamp,14617,Free MLOps course from DataTalks.Club,15,2,cohorts/2023/03-orchestration/prefect/images/Activity-create-run-deployment.png | 04-deployment/images/thumbnail-4-01.jpg
open-mmlab/mmdeploy,https://github.com/open-mmlab/mmdeploy,3126,OpenMMLab Model Deployment Framework,2,2,docs/en/_static/image/quant_model.png | docs/zh_cn/_static/image/quant_model.png
microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,20528,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",3,2,docs/images/layered-architecture.png | orttraining/orttraining/test/python/qat_poc_example/images/mnist_quantized.png
aimhubio/aim,https://github.com/aimhubio/aim,6121,Aim 💫 — An easy-to-use & supercharged open-source experiment tracker.,2,2,docs/source/_static/images/using/k8s/basic_k8s_deployment_final.png | docs/source/_static/images/using/k8s/basic_k8s_deployment_vol.png
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,22416,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,15,2,docs/images/deployments-1.png | docs/images/deploying-flows1.png
microsoft/agent-lightning,https://github.com/microsoft/agent-lightning,17188,The absolute trainer to light up AI agents.,2,2,docs/assets/readme-architecture.svg | docs/assets/readme-diff.svg
GoogleCloudPlatform/agent-starter-pack,https://github.com/GoogleCloudPlatform/agent-starter-pack,6408,"Ship AI Agents to Google Cloud in minutes, not months. Production-ready templates with built-in CI/CD, evaluation, and observability.",2,2,docs/images/asp_high_level_architecture.png | docs/images/adk_gemini_fullstack_architecture.png
argilla-io/argilla,https://github.com/argilla-io/argilla,4975,Argilla is a collaboration tool for AI engineers and domain experts to build high-quality datasets,15,2,docs/_source/_static/images/llms/fine-tuning-sentencesimilarity-rag/rag-diagram.jpg | docs/_source/_static/images/llms/training-setfit-absa/setfit-absa.png
truefoundry/cognita,https://github.com/truefoundry/cognita,4411,"RAG (Retrieval Augmented Generation) Framework for building modular, open source applications for production by TrueFoundry ",2,2,docs/assets/architecture.drawio | docs/images/rag_arch.png
decodingai-magazine/llm-twin-course,https://github.com/decodingai-magazine/llm-twin-course,4336,🤖 𝗟𝗲𝗮𝗿𝗻 for 𝗳𝗿𝗲𝗲 how to 𝗯𝘂𝗶𝗹𝗱 an end-to-end 𝗽𝗿𝗼𝗱𝘂𝗰𝘁𝗶𝗼𝗻-𝗿𝗲𝗮𝗱𝘆 𝗟𝗟𝗠 & 𝗥𝗔𝗚 𝘀𝘆𝘀𝘁𝗲𝗺 using 𝗟𝗟𝗠𝗢𝗽𝘀 best practices: ~ 𝘴𝘰𝘶𝘳𝘤𝘦 𝘤𝘰𝘥𝘦 + 12 𝘩𝘢𝘯𝘥𝘴-𝘰𝘯 𝘭𝘦𝘴𝘴𝘰𝘯𝘴,2,2,media/architecture.png | media/fine-tuning-workflow.png
hemansnation/AI-Engineer-Headquarters,https://github.com/hemansnation/AI-Engineer-Headquarters,3670,"A collection of scientific methods, processes, algorithms, and systems to build stories & models.",3,2,3_Retrieval-Augmented Generation (RAG)/27_RAG Fundamentals and Workflow/rag architecture.png | 3_Retrieval-Augmented Generation (RAG)/27_RAG Fundamentals and Workflow/rag basic.png
datachain-ai/datachain,https://github.com/datachain-ai/datachain,2748,"The Context Layer for unstructured data: typed, versioned datasets over S3, GCS, Azure",2,2,docs/assets/architecture.svg | docs/assets/studio_architecture.svg
superlinked/sie,https://github.com/superlinked/sie,1856,"Superlinked Inference Engine is an Open-source inference server and production cluster for embeddings, reranking, and extraction.",2,2,examples/sie-hugging-face-mteb-semantic-search/assets/superlinked-sie-llm-search-overview-illustration.png | examples/ecommerce-product-search/assets/hero.png
kubeflow/katib,https://github.com/kubeflow/katib,1682,Automated Machine Learning on Kubernetes,2,2,docs/proposals/2339-hpo-for-llm-fine-tuning/hp-optimization-api-design.jpg | docs/proposals/685-metrics-collector/metrics-collector-design.png
logicalclocks/hopsworks,https://github.com/logicalclocks/hopsworks,1295,Hopsworks - Data-Intensive AI platform with a Feature Store,6,2,docs/assets/images/architecture.svg | docs/assets/images/admin/ha_dr/example_ha_cluster.svg
nuclia/nucliadb,https://github.com/nuclia/nucliadb,719,"NucliaDB, The AI Search database for RAG",2,2,docs/assets/images/nucliadb-arch-overview.png | proposals/records/images/005/overview.drawio.png
PacificAI/langtest,https://github.com/PacificAI/langtest,557,Deliver safe & effective language models,6,2,docs/assets/images/home/langtest_flow_graphic.png | docs/assets/images/langtest/langtest_flow_graphic.jpeg
alibaba/feathub,https://github.com/alibaba/feathub,348,FeatHub - A stream-batch unified feature store for real-time machine learning,2,2,docs/static/img/architecture_1.png | docs/static/img/architecture_2.png
awslabs/amazon-sagemaker-mlops-workshop,https://github.com/awslabs/amazon-sagemaker-mlops-workshop,333,Machine Learning Ops Workshop with SageMaker: lab guides and materials.,2,2,imgs/MLOps_Train_Deploy_TestModel.jpg | imgs/MLOps_Train_Deploy_TestModel.png
SebastianoMeneghin/sml-project-2023-manfredi-meneghin,https://github.com/SebastianoMeneghin/sml-project-2023-manfredi-meneghin,243,"Scalable Machine Learning and Deep Learning, Final Project, 2023/2024",2,2,images/MLPipeline.png | images/pipeline.png
kmeanskaran/stock-agent-ops,https://github.com/kmeanskaran/stock-agent-ops,240,Designing end-to-end weekly stock report generation using LSTM and Agentic AI. Deploying on AWS with MLOps practices.,5,2,grafana/plugins/grafana-exploretraces-app/components/states/EmptyState/img/grot-404-dark.svg | grafana/plugins/grafana-exploretraces-app/components/states/EmptyState/img/grot-404-light.svg
aniketmaurya/chitra,https://github.com/aniketmaurya/chitra,234,"A multi-functional library for full-stack Deep Learning. Simplifies Model Building, API development, and Model Deployment.",2,2,docs/assets/images/chitra-arch.png | docs/assets/images/chitra-arch.svg
PerforatedAI/PerforatedAI,https://github.com/PerforatedAI/PerforatedAI,223,Add Dendrites to your PyTorch Project,3,2,Examples/hackathonProjects/perforated-uniplexity-credit-scoring/diagrams/deployment_targets.png | Examples/hackathonProjects/perforated-uniplexity-credit-scoring/diagrams/erp_to_credit_pipeline.png
IBM/unitxt,https://github.com/IBM/unitxt,212,"🦄 Unitxt is a Python library for enterprise-grade evaluation of AI performance, offering the world's largest catalog of  tools and data for end-to-end AI benchmarking",4,2,assets/torr/overview.png | assets/unitxt_flow.png
healthchainai/HealthChain,https://github.com/healthchainai/HealthChain,197,"Python SDK for healthcare AI: connect models to live EHR systems, skip the integration tax 💫 🏥",2,2,docs/assets/images/hc-use-cases-ml-deployment.png | docs/assets/images/notereaderfhirflow.png
ayush714/customer-satisfaction-mlops,https://github.com/ayush714/customer-satisfaction-mlops,157,customer-satisfaction,3,2,_assets/training_and_deployment_pipeline_updated.png | _assets/high_level_overview.png
aws-solutions/mlops-workload-orchestrator,https://github.com/aws-solutions/mlops-workload-orchestrator,155,The MLOps Workload Orchestrator solution helps you streamline and enforce architecture best practices for machine learning (ML) model productionization. This solution is an extendable framework that provides a standard interface for managing ML pipelines for AWS ML services and third-party services.,2,2,source/architecture-option-1.png | source/architecture-option-2.png
google/space,https://github.com/google/space,155,Unified storage framework for the entire machine learning lifecycle,2,2,docs/pics/hybrid_storage.png | docs/pics/overview.png
jmeisele/ml-ops,https://github.com/jmeisele/ml-ops,126,Get your MLOps (Level 1) platform started and going fast.,6,2,docs/ml_api_architecture.drawio.svg | docs/mlops_level1.drawio.svg
ErdemOzgen/blackdagger,https://github.com/ErdemOzgen/blackdagger,117,"Blackdagger is a DAG-based automation tool specifically used in DevOps, DevSecOps, MLOps, MLSecOps, and Continuous Red Teaming (CART).",4,2,docs/source/_static/github-infra-arch.png | docs/source/_static/framework_diagram.png
microsoft/qlib,https://github.com/microsoft/qlib,43098,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.",8,2,docs/_static/img/online_serving.png | examples/benchmarks/TCTS/workflow.png
zeroclaw-labs/zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,31402,"Fast, small, and fully autonomous AI personal assistant infrastructure, ANY OS, ANY PLATFORM — deploy anywhere, swap anything 🦀",2,2,docs/assets/Hardware_architecture.jpg | docs/assets/architecture.svg
microsoft/JARVIS,https://github.com/microsoft/JARVIS,24733,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf",2,2,hugginggpt/assets/overview.jpg | hugginggpt/assets/prompt_flow.jpg
polyaxon/polyaxon,https://github.com/polyaxon/polyaxon,3706,MLOps Tools For Managing & Orchestrating The Machine Learning LifeCycle,1,1,artifacts/polyaxon_architecture.png
clearml/clearml,https://github.com/clearml/clearml,6676,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",1,1,docs/system_diagram.png
GoogleCloudPlatform/mlops-with-vertex-ai,https://github.com/GoogleCloudPlatform/mlops-with-vertex-ai,422,"An end-to-end example of MLOps on Google Cloud using TensorFlow, TFX, and Vertex AI",1,1,mlops.png
triton-inference-server/server,https://github.com/triton-inference-server/server,10669,The Triton Inference Server provides an optimized cloud and edge inferencing solution. ,1,1,deploy/gke-marketplace-app/diagram.png
facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,3406,PyTorch extensions for high performance and large scale training.,1,1,docs/source/_static/img/flowchart.png
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,31142,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",1,1,docs/source-pytorch/_static/images/general/pl_overview_flat.jpg
automl/auto-sklearn,https://github.com/automl/auto-sklearn,8099,Automated Machine Learning with scikit-learn,1,1,doc/images/askl_pipeline.png
spotify/luigi,https://github.com/spotify/luigi,18720,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization etc. It also comes with Hadoop support built in. ",1,1,doc/execution_model.png
whylabs/whylogs,https://github.com/whylabs/whylogs,2820,"An open-source data logging library for machine learning models and data pipelines. 📚 Provides visibility into data quality & model performance over time. 🛡️ Supports privacy-preserving data collection, ensuring safety & robustness. 📈",2,1,python/examples/integrations/flask_streaming/assets/flask_whylogs_whylabs_flow.jpeg
huggingface/text-generation-inference,https://github.com/huggingface/text-generation-inference,10854,Large Language Model Text Generation Inference,1,1,assets/architecture.png
lm-sys/FastChat,https://github.com/lm-sys/FastChat,39469,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",2,1,assets/server_arch.png
BerriAI/litellm,https://github.com/BerriAI/litellm,47291,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",4,1,tests/image_gen_tests/litellm_site.png
ray-project/kuberay,https://github.com/ray-project/kuberay,2502,A toolkit to run Ray applications on Kubernetes,6,1,benchmark/memory_benchmark/images/benchmark_architecture.png
onnx/onnx,https://github.com/onnx/onnx,20843,Open standard for machine learning interoperability,1,1,docs/images/onnx_hub_arch.svg
chiphuyen/machine-learning-systems-design,https://github.com/chiphuyen/machine-learning-systems-design,10372,"A booklet on machine learning systems design with exercises. NOT the repo for the book ""Designing Machine Learning Systems"", which is `dmls-book`",2,1,images/ml_project_flow.png
SwanHubX/SwanLab,https://github.com/SwanHubX/SwanLab,3937,"⚡️SwanLab - an open-source, modern-design AI training tracking and visualization tool. Supports Cloud / Self-hosted use. Integrated with PyTorch / Transformers / verl / LLaMA Factory / ms-swift / Ultralytics / MMEngine / Keras etc.",4,1,readme_files/swanlab-architecture.png
higgsfield-ai/higgsfield,https://github.com/higgsfield-ai/higgsfield,3709,"Fault-tolerant, highly scalable GPU orchestration, and a machine learning framework designed for training models with billions to trillions of parameters",1,1,docs/static/architecture.png
pixeltable/pixeltable,https://github.com/pixeltable/pixeltable,1558,Declarative and Incremental Backend for Multimodal AI Applications,3,1,docs/release/overview/technical-diagram.png
fmind/mlops-python-package,https://github.com/fmind/mlops-python-package,1408,A comprehensive Python package template to kickstart and standardize your MLOps initiatives and data pipelines.,1,1,images/mlopsmindmap.png
kitops-ml/kitops,https://github.com/kitops-ml/kitops,1343,"An open source DevOps tool from the CNCF for packaging and versioning AI/ML models, datasets, code, and configuration into an OCI Artifact.",2,1,docs/src/docs/modelkit/ModelKit_chart.svg
abhishek-ch/around-dataengineering,https://github.com/abhishek-ch/around-dataengineering,1144,A Data Engineering & Machine Learning Knowledge Hub,2,1,sketchnotes/ML_workflow.png
sematic-ai/sematic,https://github.com/sematic-ai/sematic,999,An open-source ML pipeline development platform,8,1,docs/images/rayDiagram.png
mryab/efficient-dl-systems,https://github.com/mryab/efficient-dl-systems,988,"Efficient Deep Learning Systems course materials (HSE, YSDA)",15,1,week02_fast_pipelines/seminar/images/mixed_precision.jpeg
iusztinpaul/energy-forecasting,https://github.com/iusztinpaul/energy-forecasting,971,"🌀 𝗧𝗵𝗲 𝗙𝘂𝗹𝗹 𝗦𝘁𝗮𝗰𝗸 𝟳-𝗦𝘁𝗲𝗽𝘀 𝗠𝗟𝗢𝗽𝘀 𝗙𝗿𝗮𝗺𝗲𝘄𝗼𝗿𝗸 | 𝗟𝗲𝗮𝗿𝗻 𝗠𝗟𝗘 & 𝗠𝗟𝗢𝗽𝘀 for free by designing, building and deploying an end-to-end ML batch system ~ 𝘴𝘰𝘶𝘳𝘤𝘦 𝘤𝘰𝘥𝘦 + 2.5 𝘩𝘰𝘶𝘳𝘴 𝘰𝘧 𝘳𝘦𝘢𝘥𝘪𝘯𝘨 & 𝘷𝘪𝘥𝘦𝘰 𝘮𝘢𝘵𝘦𝘳𝘪𝘢𝘭𝘴",1,1,images/architecture.png
AgileRL/AgileRL,https://github.com/AgileRL/AgileRL,918,"Streamlining reinforcement learning with RLOps. State-of-the-art RL algorithms and tools, with 10x faster training through evolutionary hyperparameter optimization.",8,1,docs/tutorials/skills/LunarLander_hierarchy.png
Xiangyue-Zhang/auto-deep-researcher-24x7,https://github.com/Xiangyue-Zhang/auto-deep-researcher-24x7,868,"🔥 An autonomous AI agent that runs your deep learning experiments 24/7 while you sleep. Zero-cost monitoring, Leader-Worker architecture, constant-size memory.",1,1,paper/figures/architecture.png
onepanelio/onepanel,https://github.com/onepanelio/onepanel,731,"The open source, end-to-end computer vision platform. Label, build, train, tune, deploy and automate in a unified platform that runs on any cloud and on-premises.",1,1,img/features.png
lightly-ai/lightly-studio,https://github.com/lightly-ai/lightly-studio,702,"Curate, Annotate, and Manage Your Data in LightlyStudio.",2,1,lightly_studio/docs/docs/_static/lightly_studio_enterprise_topology.svg
MLOps-Courses/mlops-coding-course,https://github.com/MLOps-Courses/mlops-coding-course,700,"Learn how to create, develop, and maintain a state-of-the-art MLOps code base",5,1,docs/img/models/pipeline.png
featurestoreorg/serverless-ml-course,https://github.com/featurestoreorg/serverless-ml-course,688,Serverless Machine Learning Course for building AI-enabled Prediction Services from models and features,1,1,assets/images/serverless-ml-architecture.svg
ing-bank/popmon,https://github.com/ing-bank/popmon,511,Monitor the stability of a Pandas or Spark dataframe ⚙︎,3,1,docs/source/assets/pipeline.png
loglabs/mltrace,https://github.com/loglabs/mltrace,470,Coarse-grained lineage and tracing for machine learning pipelines.,1,1,docs/source/images/toy-ml-pipeline-diagram.svg
clearml/clearml-server,https://github.com/clearml/clearml-server,460,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",1,1,docs/ClearML_Server_Diagram.png
aporia-ai/mlplatform-workshop,https://github.com/aporia-ai/mlplatform-workshop,445,"🍫 Example code for a basic ML Platform based on Pulumi, FastAPI, DVC, MLFlow and more",1,1,docs/architecture.png
